metro,name,year,firms,estab,emp,estab_change,percent_change
"Albuquerque, NM Metro Area",Albuquerque,2019,13657,17189,313459,90,0.526347
"Albuquerque, NM Metro Area",Albuquerque,2018,13596,17099,308120,-137,-0.79485
"Albuquerque, NM Metro Area",Albuquerque,2017,13647,17236,305071,50,0.290934
"Albuquerque, NM Metro Area",Albuquerque,2016,13587,17186,308432,94,0.549965
"Albuquerque, NM Metro Area",Albuquerque,2015,13570,17092,299071,46,0.269858
"Albuquerque, NM Metro Area",Albuquerque,2014,13595,17046,295551,7,0.041082
"Albuquerque, NM Metro Area",Albuquerque,2013,13705,17039,276998,-2,-0.01174
"Albuquerque, NM Metro Area",Albuquerque,2012,13675,17041,280631,3,0.017608
"Albuquerque, NM Metro Area",Albuquerque,2011,13659,17038,284622,-33,-0.19331
"Albuquerque, NM Metro Area",Albuquerque,2010,13754,17071,288177,NaN,NaN
"Austin-Round Rock, TX Metro Area",Austin,2010,29823,37522,644673,NaN,NaN
"Austin-Round Rock, TX Metro Area",Austin,2011,30504,38385,658853,863,2.299984
"Austin-Round Rock, TX Metro Area",Austin,2012,31472,39464,686895,1079,2.810994
"Austin-Round Rock, TX Metro Area",Austin,2013,32590,40867,713630,1403,3.555139
"Austin-Round Rock, TX Metro Area",Austin,2014,33924,42516,752171,1649,4.03504
"Austin-Round Rock, TX Metro Area",Austin,2015,35108,44066,787888,1550,3.645686
"Austin-Round Rock, TX Metro Area",Austin,2016,36549,46165,835517,2099,4.76331
"Austin-Round Rock, TX Metro Area",Austin,2017,37466,47162,842468,997,2.159645
"Austin-Round Rock, TX Metro Area",Austin,2018,38676,48549,881821,1387,2.940927
"Austin-Round Rock, TX Metro Area",Austin,2019,39866,49967,906614,1418,2.92076
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2010,47388,59034,1060878,NaN,NaN
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2011,47032,58809,1071750,-225,-0.38114
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2012,47522,59287,1090561,478,0.812801
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2013,47638,59584,1112358,297,0.500953
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2014,47667,60036,1125305,452,0.758593
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2015,47796,60339,1147363,303,0.504697
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2016,48331,61216,1178106,877,1.453455
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2017,48389,61149,1195177,-67,-0.10945
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2018,48479,61155,1210943,6,0.009812
"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,2019,48607,61262,1219897,107,0.174965
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2010,88407,110862,2255271,NaN,NaN
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2011,88468,111257,2288015,395,0.356299
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2012,89567,112213,2337346,956,0.859272
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2013,90206,113013,2375687,800,0.71293
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2014,90889,114204,2385749,1191,1.053861
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2015,91562,115158,2452130,954,0.835347
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2016,93122,117721,2494762,2563,2.225638
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2017,93772,118686,2541305,965,0.819735
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2018,94339,119093,2603270,407,0.342922
"Boston-Cambridge-Newton, MA-NH Metro Area",Boston,2019,95123,120280,2642698,1187,0.9967
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2010,37818,48998,874040,NaN,NaN
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2011,37669,48788,892803,-210,-0.42859
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2012,38150,49443,924414,655,1.342543
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2013,38684,50133,955604,690,1.395546
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2014,39308,50962,959942,829,1.653601
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2015,40134,52034,997337,1072,2.103528
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2016,41469,53853,1038103,1819,3.495791
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2017,42558,55374,1072041,1521,2.824355
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2018,43436,56172,1097183,798,1.44111
"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,2019,44226,57339,1130012,1167,2.077548
"Columbus, OH Metro Area",Columbus,2010,27431,36937,759528,NaN,NaN
"Columbus, OH Metro Area",Columbus,2011,27455,36636,775254,-301,-0.8149
"Columbus, OH Metro Area",Columbus,2012,27594,36884,814661,248,0.67693
"Columbus, OH Metro Area",Columbus,2013,27908,37283,824674,399,1.08177
"Columbus, OH Metro Area",Columbus,2014,28020,37680,832246,397,1.064828
"Columbus, OH Metro Area",Columbus,2015,28262,38200,844363,520,1.380042
"Columbus, OH Metro Area",Columbus,2016,28605,39045,872863,845,2.212042
"Columbus, OH Metro Area",Columbus,2017,28782,39140,887340,95,0.243309
"Columbus, OH Metro Area",Columbus,2018,29047,39580,913301,440,1.12417
"Columbus, OH Metro Area",Columbus,2019,29446,40092,924697,512,1.293583
"Dallas-Fort Worth-Arlington, TX Metro Area",Fort Worth,2010,97412,129361,2560508,NaN,NaN
"Dallas-Fort Worth-Arlington, TX Metro Area",Fort Worth,2011,97724,130288,2624497,927,0.716599
"Dallas-Fort Worth-Arlington, TX Metro Area",Fort Worth,2012,99864,132582,2701961,2294,1.760715
"Dallas-Fort Worth-Arlington, TX Metro Area",Fort Worth,2013,101795,134892,2795570,2310,1.742318
"Dallas-Fort Worth-Arlington, TX Metro Area",Fort Worth,2014,104118,138530,2896689,3638,2.696972
"Dallas-Fort Worth-Arlington, TX Metro Area",Fort Worth,2015,106603,141470,3021557,2940,2.122284
