city_state,name,year,total_year,same_county,diff_county,diff_state,from_abroad
"Albuquerque city, New Mexico",Albuquerque,2010,540574,10.6,2,3.4,0.4
"Albuquerque city, New Mexico",Albuquerque,2011,544579,11,2.7,2.9,0.5
"Albuquerque city, New Mexico",Albuquerque,2012,548340,11.2,2.4,3,0.8
"Albuquerque city, New Mexico",Albuquerque,2013,549629,12.8,2,2.6,0.6
"Albuquerque city, New Mexico",Albuquerque,2014,550317,10.1,3.1,2.8,0.2
"Albuquerque city, New Mexico",Albuquerque,2015,552275,12.8,2.2,2.5,0.4
"Albuquerque city, New Mexico",Albuquerque,2016,553849,12.4,1.6,3.3,0.3
"Albuquerque city, New Mexico",Albuquerque,2017,551049,8.9,1.4,2.7,0.4
"Albuquerque city, New Mexico",Albuquerque,2018,553759,10,2.4,2.9,0.6
"Albuquerque city, New Mexico",Albuquerque,2019,553804,11.9,1.5,1.8,0.5
"Austin city, Texas",Austin,2010,782461,18.9,5.4,2.8,1.2
"Austin city, Texas",Austin,2011,809464,16.7,5.5,3.8,0.6
"Austin city, Texas",Austin,2012,831672,17,6.1,3.2,1.2
"Austin city, Texas",Austin,2013,874143,14,5.5,3.1,1.3
"Austin city, Texas",Austin,2014,900040,12.9,5.3,3.7,1.1
"Austin city, Texas",Austin,2015,919721,12,4.2,3.4,1.1
"Austin city, Texas",Austin,2016,934294,11.1,4.4,3.1,1.1
"Austin city, Texas",Austin,2017,938330,11.5,4.6,3.5,1.5
"Austin city, Texas",Austin,2018,953463,12.7,5.1,3.1,0.8
"Austin city, Texas",Austin,2019,967577,13.1,4.5,3.2,1.4
"Charlotte city, North Carolina",Charlotte,2010,725808,14.6,2.6,3.4,1.2
"Charlotte city, North Carolina",Charlotte,2011,741987,12.9,2.1,4.7,0.9
"Charlotte city, North Carolina",Charlotte,2012,762800,12.5,2.7,4.1,0.5
"Charlotte city, North Carolina",Charlotte,2013,784272,12.6,2.7,4.6,1
"Charlotte city, North Carolina",Charlotte,2014,798163,14.7,2.5,4.6,0.8
"Charlotte city, North Carolina",Charlotte,2015,815490,12.8,2.9,4.8,0.8
"Charlotte city, North Carolina",Charlotte,2016,830055,11.2,2.4,5,0.9
"Charlotte city, North Carolina",Charlotte,2017,849948,11.3,1.8,3.5,1.2
"Charlotte city, North Carolina",Charlotte,2018,862010,10.1,2.1,4.1,0.8
"Charlotte city, North Carolina",Charlotte,2019,872125,9,2.2,4.3,1.2
"Columbus city, Ohio",Columbus,2010,778002,17,4.2,1.7,0.7
"Columbus city, Ohio",Columbus,2011,786775,16.3,3.6,3,0.7
"Columbus city, Ohio",Columbus,2012,798718,13.9,4.3,3,0.9
"Columbus city, Ohio",Columbus,2013,809934,14.5,3.5,2.3,1.1
"Columbus city, Ohio",Columbus,2014,823548,15.7,4.3,3.5,0.8
"Columbus city, Ohio",Columbus,2015,836248,14.9,4,2.6,0.8
