name,income_ineq,year,unemployment_rate,total_year_mob,same_county_mob,diff_county_mob,diff_state_mob,from_abroad_mob,mobility,mediangross_rent_income,city,firms,estab,estab_prev,estab_change,percent_change,emp
Fresno,0.4743,2011,18.5,493749,16.4,3.2,0.7,0.3,4.2,35.8,"Fresno, CA Metro Area",12047,14488,14563.0,-75.0,-0.515003777,228670
Denver,0.5038,2011,9.5,610005,10.3,8.7,4.0,1.2,13.899999999999999,29.7,"Dallas-Fort Worth-Arlington, TX Metro Area",97724,130288,129361.0,927.0,0.716599284,2624497
Washington,0.5338,2011,11.4,611608,10.9,0.0,7.9,1.2,9.1,29.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",98949,129191,127848.0,1343.0,1.050466179,2449446
Boston,0.5413,2011,11.6,618046,12.0,4.4,4.4,2.2,11.0,31.7,"Boston-Cambridge-Newton, MA-NH Metro Area",88468,111257,110862.0,395.0,0.356298822,2288015
Detroit,0.4956,2011,29.3,696759,11.5,1.5,1.0,0.4,2.9,46.2,"Denver-Aurora-Lakewood, CO Metro Area",52117,64877,64525.0,352.0,0.54552499,1098749
Memphis,0.5021,2011,14.5,643966,17.5,0.7,2.5,0.4,3.6,36.1,"Memphis, TN-MS-AR Metro Area",17606,23903,24151.0,-248.0,-1.026872593,511654
Austin,0.4923,2011,8.3,809464,16.7,5.5,3.8,0.6,9.9,30.5,"Austin-Round Rock, TX Metro Area",30504,38385,37522.0,863.0,2.299984009,658853
Seattle,0.4905,2011,7.2,612350,14.5,2.2,4.7,1.2,8.1,29.4,"Seattle-Tacoma-Bellevue, WA Metro Area",68601,85556,85980.0,-424.0,-0.493137939,1395951
Milwaukee,0.4614,2011,15.8,589185,18.8,2.2,2.1,0.8,5.1000000000000005,35.4,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",27838,36220,36408.0,-188.0,-0.516370029,695793
Fresno,0.4863,2012,16.8,497408,15.7,2.9,0.9,0.3,4.1,37.8,"Fresno, CA Metro Area",12136,14570,14488.0,82.0,0.565985643,235565
Denver,0.5048,2012,7.2,624608,10.3,7.6,4.4,0.8,12.8,29.3,"Dallas-Fort Worth-Arlington, TX Metro Area",99864,132582,130288.0,2294.0,1.760714724,2701961
Washington,0.5343,2012,10.3,624847,9.9,0.0,8.6,1.4,10.0,29.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",100221,130068,129191.0,877.0,0.678839857,2489246
Boston,0.5405,2012,9.6,631408,10.3,4.2,4.5,2.1,10.799999999999999,30.3,"Boston-Cambridge-Newton, MA-NH Metro Area",89567,112213,111257.0,956.0,0.859271776,2337346
Detroit,0.5105,2012,27.7,692752,13.2,1.7,0.9,0.5,3.1,43.6,"Denver-Aurora-Lakewood, CO Metro Area",52909,65600,64877.0,723.0,1.114416511,1131276
Memphis,0.5078,2012,14.1,644689,14.8,1.0,3.0,0.5,4.5,37.0,"Memphis, TN-MS-AR Metro Area",17451,23683,23903.0,-220.0,-0.920386562,519588
Austin,0.4919,2012,7.1,831672,17.0,6.1,3.2,1.2,10.5,30.2,"Austin-Round Rock, TX Metro Area",31472,39464,38385.0,1079.0,2.810993878,686895
Seattle,0.4862,2012,5.9,626942,12.6,2.5,5.0,1.2,8.7,28.6,"Seattle-Tacoma-Bellevue, WA Metro Area",69149,85985,85556.0,429.0,0.501425967,1422680
