city_state,name,year,move_total_year,move_same_county,move_diff_county,move_diff_state,move_from_abroad,total_ed_attn_pop_25up,total_ed_attn_less_than_high,total_ed_attn_high,total_ed_attn_some_coll_assoc,total_ed_attn_bach,total_ed_attn_grad,diff_county_ed_attn_pop_25up,diff_county_ed_attn_less_than_high,diff_county_ed_attn_high,diff_county_ed_attn_some coll_assoc,diff_county_ed_attn_bach,diff_county_ed_attn_grad,diff_state_ed_attn_pop_25up,diff_state_ed_attn_less_than_high,diff_state_ed_attn_high,diff_state_ed_attn_some_coll_assoc,diff_state_ed_attn_bach,diff_state_ed_attn_grad,from_abroad_ed_attn_pop_25up,from_abroad_ed_attn_less_than_high,from_abroad_ed_attn_high,from_abroad_ed_some_coll_assoc,from_abroad_ed_bach,from_abroad_ed_grad
"Albuquerque city, New Mexico",Albuquerque,2010,540574,10.6,2,3.4,0.4,358566,44850,80825,118044,65147,49700,1.6,1.5,1.4,1.9,1.8,0.8,3.3,1.2,2.2,3.7,4.3,4.8,0.4,0.1,0,0.3,1.1,0.6
"Albuquerque city, New Mexico",Albuquerque,2011,544579,11,2.7,2.9,0.5,364719,39026,85725,119843,67830,52295,2.2,2.3,2.6,2.5,1.7,1.1,3,1.2,3,1.8,5.6,3.9,0.4,0.1,0.3,0.3,1.2,0.4
"Albuquerque city, New Mexico",Albuquerque,2012,548340,11.2,2.4,3,0.8,365790,39139,85304,117976,67920,55451,1.9,0.3,1.6,3.1,1.5,1.6,2.9,1.2,2.8,2.1,4.3,4.1,0.8,0.9,0.6,0.2,1.7,1.1
"Albuquerque city, New Mexico",Albuquerque,2013,549629,12.8,2,2.6,0.6,371166,40030,86473,117832,70648,56183,1.6,1.1,1.6,1.7,1.2,2.2,2.9,0.4,2.5,2.2,4.8,4.3,0.6,0.6,0.7,0.5,0.6,0.5
"Albuquerque city, New Mexico",Albuquerque,2014,550317,10.1,3.1,2.8,0.2,372538,39612,87608,120485,71335,53498,2.4,3.3,2.5,2.2,3,1.2,2.4,1.9,1.1,2.1,2.3,5.9,0.2,0.2,0.2,0.1,0.2,0.3
"Albuquerque city, New Mexico",Albuquerque,2015,552275,12.8,2.2,2.5,0.4,377467,47821,86470,120200,64583,58393,1.6,1.7,1.4,2,1.6,0.9,2.7,1.6,2.2,1.5,3.5,5.6,0.4,0,0.2,0.4,1.4,0.3
"Albuquerque city, New Mexico",Albuquerque,2016,553849,12.4,1.6,3.3,0.3,379819,37058,87511,122189,74672,58389,1.5,1.1,1.2,1.8,0.9,2.1,3.1,2.4,2.5,2.2,3.7,5.6,0.4,1.4,0.3,0.1,0.1,0.7
"Albuquerque city, New Mexico",Albuquerque,2017,551049,8.9,1.4,2.7,0.4,381067,33326,84838,124625,75457,62821,1.2,0.6,1.5,1.3,0.8,1.6,2.9,2.2,1.4,2.1,4.3,5.1,0.5,0.3,0.7,0.4,0.4,0.5
"Albuquerque city, New Mexico",Albuquerque,2018,553759,10,2.4,2.9,0.6,386553,39746,84883,121472,75436,65016,1.9,2.2,2,2.8,1.2,0.8,2.8,1.8,0.9,2.1,4.2,5.5,0.5,0,0.4,0.5,0.6,1
"Albuquerque city, New Mexico",Albuquerque,2019,553804,11.9,1.5,1.8,0.5,387982,41200,89396,116902,80519,59965,1.4,0.2,1.9,0.8,1.5,2.1,2.1,0.6,0.8,2.7,3.2,2.1,0.4,0.9,0.5,0.1,0.4,0.4
"Austin city, Texas",Austin,2010,782461,18.9,5.4,2.8,1.2,502032,72420,86897,123451,138296,80968,3.8,2.7,4.2,5.1,3.5,2.9,3.1,0.8,2.1,2.3,5.2,3.7,1.1,1.7,0.6,0.8,1.3,1
"Austin city, Texas",Austin,2011,809464,16.7,5.5,3.8,0.6,527089,73699,87132,131788,146033,88437,4.2,2.6,4,5.5,4.8,2.6,3.7,2.2,2.5,4.3,3.9,5,0.6,0.4,0.3,0.4,1,1
"Austin city, Texas",Austin,2012,831672,17,6.1,3.2,1.2,548469,72823,91797,134613,162033,87203,4.3,2.7,5.1,5.4,4.3,2.7,3.3,0.7,2,4,3.3,5.4,1,0.2,0.9,0.7,1.5,1.3
"Austin city, Texas",Austin,2013,874143,14,5.5,3.1,1.3,582889,72949,94275,143287,173932,98446,4.1,1.8,3.7,4.4,5.1,4,3,1.3,1.8,2.2,3.9,5,1.1,1.2,0.6,0.5,1.9,1.2
"Austin city, Texas",Austin,2014,900040,12.9,5.3,3.7,1.1,614340,71861,104189,145777,179703,112810,4.3,2.4,4.5,5.4,4.6,3.4,4,0.9,2.5,3.3,4.6,7.2,1,0.9,0.9,0.3,0.7,2.2
"Austin city, Texas",Austin,2015,919721,12,4.2,3.4,1.1,635470,75873,107110,145455,196563,110469,3.5,2.9,2.1,3.8,3.9,4.3,3.6,1.2,1.7,3.2,5.2,4.6,1.1,1.4,1.1,0.6,1.1,1.5
"Austin city, Texas",Austin,2016,934294,11.1,4.4,3.1,1.1,645013,69750,103224,154941,199978,117120,3.5,1.8,3.3,5.4,3.3,2.3,3,0.6,1.7,3.2,3.5,4.3,1.1,1.2,0.5,0.4,1.5,1.7
"Austin city, Texas",Austin,2017,938330,11.5,4.6,3.5,1.5,659652,65526,113134,144640,211554,124798,3.9,3.5,4.5,4.4,4.2,2.4,3.4,1.2,1,3,4.7,5.2,1.7,2.3,2.4,0.7,1.6,1.8
"Austin city, Texas",Austin,2018,953463,12.7,5.1,3.1,0.8,673498,68916,99953,140162,224466,140001,4,2.9,4.1,5.4,4,3,3.1,0.3,1.9,2.8,3.6,4.9,0.8,1,0.5,0,1,1.3
"Austin city, Texas",Austin,2019,967577,13.1,4.5,3.2,1.4,686879,68818,97804,142131,233048,145078,3.7,1.7,3.6,4.4,3.7,4.2,3.3,0.8,1.9,2.6,4.5,4,1.1,2.3,0.5,1.3,0.6,1.7
"Baltimore city, Maryland",Baltimore,2010,612017,11.5,2.6,2,0.5,409515,94798,120892,94646,54186,44993,2,1,1.6,2.1,4.9,2.1,1.9,1,1.2,1.2,3.4,5.4,0.5,0.2,0.1,0.2,1,1.8
"Baltimore city, Maryland",Baltimore,2011,610849,10.5,3.7,2.4,0.6,410163,80050,119931,97420,60927,51835,3.1,1.7,3.2,3.2,4.6,2.8,1.7,0.3,0.7,1.5,3.9,4.4,0.5,0.1,0.4,0.1,0.8,2.1
"Baltimore city, Maryland",Baltimore,2012,612602,11.1,3.1,2.2,0.6,413598,79830,121677,100826,59077,52188,2.9,2.2,3,3,3.1,3.1,1.9,0.4,0.8,1.2,3.1,6.7,0.6,1.3,0.3,0,0.5,1.2
"Baltimore city, Maryland",Baltimore,2013,612995,11.3,4.3,2.3,0.7,420247,76386,122048,101379,62996,57438,3.9,2.6,3.7,3.5,5.9,4.4,2,0.9,0.7,1.3,4.2,4.7,0.8,0.1,0.7,0.4,0.7,2.6
"Baltimore city, Maryland",Baltimore,2014,615275,10.9,3.2,2.3,0.7,423249,66212,133996,95956,65113,61972,2.9,2.1,1.8,3.1,4.9,3.9,2.1,0.8,1,1,4.5,5,0.6,1.4,0.1,0.2,0.8,1.5
