geo_id,name,mediangross_rent_income,year
1600000US0446000,"Mesa city, Arizona",30.7,2010
1600000US0477000,"Tucson city, Arizona",33.6,2010
1600000US0627000,"Fresno city, California",36.2,2010
1600000US0664000,"Sacramento city, California",33.5,2010
1600000US0667000,"San Francisco city, California",28.3,2010
1600000US0820000,"Denver city, Colorado",30.9,2010
1600000US1150000,"Washington city, District of Columbia",30.4,2010
1600000US1235000,"Jacksonville city, Florida",33.1,2010
1600000US1836003,"Indianapolis city (balance), Indiana",33.8,2010
1600000US2404000,"Baltimore city, Maryland",32.4,2010
1600000US2507000,"Boston city, Massachusetts",30.9,2010
1600000US2622000,"Detroit city, Michigan",45.1,2010
1600000US2938000,"Kansas City city, Missouri",32,2010
1600000US3240000,"Las Vegas city, Nevada",31.7,2010
1600000US3502000,"Albuquerque city, New Mexico",29.6,2010
1600000US3712000,"Charlotte city, North Carolina",31.1,2010
1600000US3918000,"Columbus city, Ohio",31.3,2010
1600000US4055000,"Oklahoma City city, Oklahoma",30,2010
1600000US4159000,"Portland city, Oregon",33.3,2010
1600000US4748000,"Memphis city, Tennessee",35.3,2010
1600000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",32.6,2010
1600000US4805000,"Austin city, Texas",32.4,2010
1600000US4824000,"El Paso city, Texas",30.5,2010
1600000US4827000,"Fort Worth city, Texas",30.7,2010
1600000US5363000,"Seattle city, Washington",29.4,2010
1600000US5553000,"Milwaukee city, Wisconsin",35.6,2010
1600000US2148006,"Louisville/Jefferson County metro government (balance), Kentucky",30.1,2010
1600000US0446000,"Mesa city, Arizona",32.3,2011
1600000US0477000,"Tucson city, Arizona",33.8,2011
1600000US0627000,"Fresno city, California",35.8,2011
1600000US0664000,"Sacramento city, California",33.8,2011
1600000US0667000,"San Francisco city, California",28,2011
1600000US0820000,"Denver city, Colorado",29.7,2011
1600000US1150000,"Washington city, District of Columbia",29.7,2011
1600000US1235000,"Jacksonville city, Florida",33,2011
1600000US1836003,"Indianapolis city (balance), Indiana",33,2011
1600000US2404000,"Baltimore city, Maryland",34.1,2011
