year,name,total_est_pop_over16,total_est_median_earnings,male_est_pop_over16,male_est_median_fulltime_earnings,female_est_pop_over16,female_est_median_fulltime_earnings
2010,Mesa,214247,26098,117518,40332,96729,36039
2010,Tucson,262570,22160,135466,36932,127104,31402
2010,Fresno,222457,21222,117953,38657,104504,32239
2010,Sacramento,222645,29793,111087,47255,111558,40905
2010,San Francisco,488383,41770,261645,63889,226738,52804
2010,Denver,345640,30650,185765,47077,159875,41109
2010,Washington,347971,42058,170291,61381,177680,56127
2010,Jacksonville,427773,29083,220235,42463,207538,33952
2010,Indianapolis,431294,25612,219523,41301,211771,34498
2010,Baltimore,305216,28670,145080,42245,160136,36273
2010,Boston,373013,31681,185094,51648,187919,46826
2010,Detroit,243658,20245,111182,35429,132476,32352
2010,Kansas City,247277,29299,121690,44309,125587,35470
2010,Las Vegas,295618,28210,160599,40789,135019,34701
2010,Albuquerque,290222,28745,148740,42117,141482,35547
2010,Charlotte,401508,30507,205199,45603,196309,37903
2010,Columbus,444985,26828,221453,41199,223532,35387
2010,Oklahoma City,314517,26005,168398,39486,146119,31237
2010,Portland,334066,27270,171663,45883,162403,40445
2010,Memphis,311783,25154,152074,37914,159709,31840
2010,Nashville,341037,25970,173778,40837,167259,36447
2010,Austin,471549,27565,256325,42222,215224,37167
2010,El Paso,299169,21870,161052,36619,138117,27108
2010,Fort Worth,378777,28006,205460,42024,173317,35446
2010,Seattle,391272,36042,201003,61794,190269,46879
2010,Milwaukee,296886,22438,143316,36013,153570,32296
2011,Mesa,220101,26296,116617,40794,103484,35277
2011,Tucson,258831,22397,138494,38698,120337,31252
2011,Fresno,216715,22293,114604,38562,102111,33014
2011,Sacramento,223693,28446,112325,46926,111368,41539
2011,San Francisco,491272,41192,265157,66031,226115,54491
2011,Denver,359165,31789,191177,48283,167988,42055
2011,Washington,359904,46112,173361,66760,186543,60332
2011,Jacksonville,420411,29307,214427,41704,205984,35731
2011,Indianapolis,429379,26176,215286,40589,214093,34985
2011,Baltimore,302289,30018,142188,43837,160101,39553
2011,Boston,371026,30876,184850,55815,186176,46389
2011,Detroit,243828,19400,110078,35322,133750,30175
2011,Kansas City,255975,29452,128106,43949,127869,38323
2011,Las Vegas,286194,28817,156441,42244,129753,35732
2011,Albuquerque,286930,28151,145848,43104,141082,36984
2011,Charlotte,412785,30023,208847,49911,203938,37067
2011,Columbus,434500,26726,225845,40406,208655,36069
2011,Oklahoma City,313483,25356,168416,40064,145067,33464
2011,Portland,348946,27837,180777,45758,168169,39853
2011,Memphis,314105,23972,152164,36392,161941,33193
