year,city_state,name,total_est_pop_over16,total_est_median_earnings,total_est_mean_earnings,male_est_pop_over16,male_est_median_earnings,male_est_median_fulltime_earnings,male_est_mean_fulltime_earnings,female_est_pop_over16,female_est_median_earnings,female_est_median_fulltime_earnings,female_est_mean_fulltime_earnings
2010,"Mesa city, Arizona",Mesa,214247,26098,46916,117518,29716,40332,51191,96729,23100,36039,40980
2010,"Tucson city, Arizona",Tucson,262570,22160,41512,135466,25149,36932,45323,127104,19993,31402,36753
2010,"Fresno city, California",Fresno,222457,21222,45772,117953,23415,38657,49110,104504,19452,32239,41466
2010,"Sacramento city, California",Sacramento,222645,29793,53700,111087,31379,47255,56608,111558,27128,40905,50727
2010,"San Francisco city, California",San Francisco,488383,41770,79146,261645,45844,63889,87857,226738,38810,52804,68111
2010,"Denver city, Colorado",Denver,345640,30650,60398,185765,32224,47077,67012,159875,28223,41109,51846
2010,"Washington city, District of Columbia",Washington,347971,42058,80427,170291,45104,61381,90115,177680,40367,56127,70613
2010,"Jacksonville city, Florida",Jacksonville,427773,29083,48487,220235,32287,42463,56099,207538,25932,33952,39665
2010,"Indianapolis city (balance), Indiana",Indianapolis,431294,25612,47811,219523,27265,41301,53690,211771,23400,34498,41104
2010,"Baltimore city, Maryland",Baltimore,305216,28670,48819,145080,30745,42245,53748,160136,26781,36273,44227
2010,"Boston city, Massachusetts",Boston,373013,31681,65889,185094,34659,51648,74404,187919,30153,46826,56837
2010,"Detroit city, Michigan",Detroit,243658,20245,39927,111182,20453,35429,41848,132476,20080,32352,38248
2010,"Kansas City city, Missouri",Kansas City,247277,29299,50565,121690,34446,44309,58618,125587,25479,35470,41700
2010,"Las Vegas city, Nevada",Las Vegas,295618,28210,50003,160599,31025,40789,54911,135019,25488,34701,43564
2010,"Albuquerque city, New Mexico",Albuquerque,290222,28745,48535,148740,32723,42117,54317,141482,24166,35547,41393
2010,"Charlotte city, North Carolina",Charlotte,401508,30507,59869,205199,32000,45603,72271,196309,28346,37903,45332
2010,"Columbus city, Ohio",Columbus,444985,26828,45944,221453,30526,41199,49706,223532,23969,35387,41859
2010,"Oklahoma City city, Oklahoma",Oklahoma City,314517,26005,47653,168398,30644,39486,55026,146119,21579,31237,37886
2010,"Portland city, Oregon",Portland,334066,27270,58609,171663,31088,45883,65241,162403,25125,40445,50301
2010,"Memphis city, Tennessee",Memphis,311783,25154,45192,152074,27169,37914,50810,159709,23021,31840,39761
2010,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,341037,25970,52348,173778,27497,40837,58727,167259,23799,36447,45102
2010,"Austin city, Texas",Austin,471549,27565,55766,256325,30596,42222,62696,215224,25190,37167,46387
2010,"El Paso city, Texas",El Paso,299169,21870,43138,161052,26825,36619,48774,138117,17458,27108,35396
2010,"Fort Worth city, Texas",Fort Worth,378777,28006,49497,205460,31333,42024,55992,173317,24269,35446,40932
2010,"Seattle city, Washington",Seattle,391272,36042,71884,201003,41813,61794,80990,190269,31501,46879,60587
2010,"Milwaukee city, Wisconsin",Milwaukee,296886,22438,40558,143316,25096,36013,43904,153570,21186,32296,37103
2011,"Mesa city, Arizona",Mesa,220101,26296,47084,116617,28853,40794,52129,103484,23137,35277,40744
2011,"Tucson city, Arizona",Tucson,258831,22397,40936,138494,25209,38698,44635,120337,20659,31252,36044
