name,year,total_ed_attn_pop_25up,total_ed_attn_less_than_high,total_ed_attn_high,total_ed_attn_some_coll_assoc,total_ed_attn_bach,total_ed_attn_grad,business_percent_change
Albuquerque,2010,358566,44850,80825,118044,65147,49700,
Albuquerque,2011,364719,39026,85725,119843,67830,52295,-0.19331
Albuquerque,2012,365790,39139,85304,117976,67920,55451,0.017608
Albuquerque,2013,371166,40030,86473,117832,70648,56183,-0.01174
Albuquerque,2014,372538,39612,87608,120485,71335,53498,0.041082
Albuquerque,2015,377467,47821,86470,120200,64583,58393,0.269858
Albuquerque,2016,379819,37058,87511,122189,74672,58389,0.549965
Albuquerque,2017,381067,33326,84838,124625,75457,62821,0.290934
Albuquerque,2018,386553,39746,84883,121472,75436,65016,-0.79485
Albuquerque,2019,387982,41200,89396,116902,80519,59965,0.526347
Austin,2010,502032,72420,86897,123451,138296,80968,
Austin,2011,527089,73699,87132,131788,146033,88437,2.299984
Austin,2012,548469,72823,91797,134613,162033,87203,2.810994
Austin,2013,582889,72949,94275,143287,173932,98446,3.555139
Austin,2014,614340,71861,104189,145777,179703,112810,4.03504
Austin,2015,635470,75873,107110,145455,196563,110469,3.645686
Austin,2016,645013,69750,103224,154941,199978,117120,4.76331
Austin,2017,659652,65526,113134,144640,211554,124798,2.159645
Austin,2018,673498,68916,99953,140162,224466,140001,2.940927
Austin,2019,686879,68818,97804,142131,233048,145078,2.92076
Baltimore,2010,409515,94798,120892,94646,54186,44993,
Baltimore,2011,410163,80050,119931,97420,60927,51835,-0.38114
Baltimore,2012,413598,79830,121677,100826,59077,52188,0.812801
Baltimore,2013,420247,76386,122048,101379,62996,57438,0.500953
Baltimore,2014,423249,66212,133996,95956,65113,61972,0.758593
Baltimore,2015,425261,65213,127213,105767,70616,56452,0.504697
Baltimore,2016,422984,63396,125266,104018,69590,60714,1.453455
Baltimore,2017,426682,66829,125049,104272,64146,66386,-0.10945
Baltimore,2018,421499,59624,123439,98809,69862,69765,0.009812
Baltimore,2019,417550,59535,118267,100708,73630,65410,0.174965
Boston,2010,396455,56250,94342,70044,97150,78669,
Boston,2011,404910,64778,87950,79185,94793,78204,0.356299
Boston,2012,415419,63231,93924,78289,98440,81535,0.859272
Boston,2013,431928,62059,96239,78335,107436,87859,0.71293
Boston,2014,444008,68077,90882,78535,113676,92838,1.053861
Boston,2015,457625,64700,96392,83147,119227,94159,0.835347
Boston,2016,463337,63863,95164,80099,126164,98047,2.225638
Boston,2017,474814,57169,101571,86991,123194,105889,0.819735
Boston,2018,482494,63007,83133,88185,132924,115245,0.342922
Boston,2019,485350,55295,92791,86206,133267,117791,0.9967
Charlotte,2010,474405,63365,96727,130382,123096,60835,
Charlotte,2011,488643,54101,100036,138002,139005,57499,-0.42859
Charlotte,2012,504174,56217,102858,141861,138305,64933,1.342543
