city_state,name,unemployment_rate,year
"Albuquerque city, New Mexico",Albuquerque,8,2010
"Albuquerque city, New Mexico",Albuquerque,10.5,2011
"Albuquerque city, New Mexico",Albuquerque,8.8,2012
"Albuquerque city, New Mexico",Albuquerque,7.3,2013
"Albuquerque city, New Mexico",Albuquerque,8.3,2014
"Albuquerque city, New Mexico",Albuquerque,6.7,2015
"Albuquerque city, New Mexico",Albuquerque,5.2,2016
"Albuquerque city, New Mexico",Albuquerque,4.8,2017
"Albuquerque city, New Mexico",Albuquerque,5.7,2018
"Albuquerque city, New Mexico",Albuquerque,5.1,2019
"Austin city, Texas",Austin,8.4,2010
"Austin city, Texas",Austin,8.3,2011
"Austin city, Texas",Austin,7.1,2012
"Austin city, Texas",Austin,5.9,2013
"Austin city, Texas",Austin,4.5,2014
"Austin city, Texas",Austin,4.2,2015
"Austin city, Texas",Austin,3.5,2016
"Austin city, Texas",Austin,3.5,2017
"Austin city, Texas",Austin,3.8,2018
"Austin city, Texas",Austin,3.4,2019
"Baltimore city, Maryland",Baltimore,14.4,2010
"Baltimore city, Maryland",Baltimore,16.1,2011
"Baltimore city, Maryland",Baltimore,15.5,2012
"Baltimore city, Maryland",Baltimore,11.1,2013
"Baltimore city, Maryland",Baltimore,11.8,2014
"Baltimore city, Maryland",Baltimore,10.1,2015
"Baltimore city, Maryland",Baltimore,8.9,2016
"Baltimore city, Maryland",Baltimore,7.6,2017
"Baltimore city, Maryland",Baltimore,6.8,2018
"Baltimore city, Maryland",Baltimore,7.3,2019
"Boston city, Massachusetts",Boston,12.9,2010
"Boston city, Massachusetts",Boston,11.6,2011
"Boston city, Massachusetts",Boston,9.6,2012
"Boston city, Massachusetts",Boston,8.1,2013
"Boston city, Massachusetts",Boston,8.3,2014
"Boston city, Massachusetts",Boston,6.7,2015
"Boston city, Massachusetts",Boston,7.6,2016
"Boston city, Massachusetts",Boston,6.7,2017
"Boston city, Massachusetts",Boston,6.9,2018
"Boston city, Massachusetts",Boston,4.4,2019
"Charlotte city, North Carolina",Charlotte,13.3,2010
"Charlotte city, North Carolina",Charlotte,11.3,2011
"Charlotte city, North Carolina",Charlotte,10.5,2012
"Charlotte city, North Carolina",Charlotte,10.2,2013
"Charlotte city, North Carolina",Charlotte,9.2,2014
"Charlotte city, North Carolina",Charlotte,7.3,2015
"Charlotte city, North Carolina",Charlotte,5.4,2016
"Charlotte city, North Carolina",Charlotte,4.6,2017
"Charlotte city, North Carolina",Charlotte,4.2,2018
"Charlotte city, North Carolina",Charlotte,3.6,2019
"Columbus city, Ohio",Columbus,12.3,2010
"Columbus city, Ohio",Columbus,10.7,2011
"Columbus city, Ohio",Columbus,8.5,2012
"Columbus city, Ohio",Columbus,7.2,2013
"Columbus city, Ohio",Columbus,6.4,2014
"Columbus city, Ohio",Columbus,6.6,2015
