year,name,estimate_total_households_with_social_security,percent_estimate_total_households_with_social_security,mean_social_security_income_usd,estimate_total_households_with_retirement_income,percent_estimate_total_households_with_retirement_income,mean_retirement_income_usd,estimate_total_households_with_ssi,percent_estimate_total_households_with_ssi,mean_ssi_income_usd,estimate_total_households_with_cash_public_assistance,percent_estimate_total_households_with_cash_public_assistance,mean_cash_public_assistance_income_usd,total_households_foodstamp_snap,percent_households_foodstamp_snap
2010,Albuquerque,55341,24.8,15355,40130,18,28302,10835,4.8,9227,3924,1.8,5553,25155,11.3
2011,Albuquerque,58773,26.2,15769,37685,16.8,26698,12684,5.7,8602,6424,2.9,2147,33056,14.7
2012,Albuquerque,60879,27.1,15945,41086,18.3,25527,12655,5.6,9405,4905,2.2,2311,35131,15.7
2013,Albuquerque,58759,27,17018,38825,17.8,28772,10932,5,9520,5174,2.4,3038,34527,15.8
2014,Albuquerque,60841,27.7,16518,40525,18.4,27122,12137,5.5,8881,4336,2,3165,27673,12.6
2015,Albuquerque,60873,27.4,17546,44249,19.9,27178,14518,6.5,9688,6487,2.9,2833,35451,16
2016,Albuquerque,67433,30.5,17678,43268,19.6,29245,11019,5,10357,6829,3.1,3287,35070,15.9
2017,Albuquerque,67444,30.5,18585,42104,19,29812,11391,5.1,10132,4224,1.9,3244,33790,15.3
2018,Albuquerque,68418,29.9,18400,44946,19.7,30044,11622,5.1,8769,6341,2.8,1911,35724,15.6
2019,Albuquerque,69383,30.5,18391,52501,23.1,29532,12050,5.3,9147,8124,3.6,1971,34811,15.3
2010,Austin,47036,14.5,15864,33779,10.4,26463,10153,3.1,8703,4407,1.4,3529,34412,10.6
2011,Austin,48977,14.8,15709,35026,10.6,26610,10768,3.2,8611,4060,1.2,2970,35419,10.7
2012,Austin,48340,14.6,16230,33162,10,25932,9970,3,8472,5357,1.6,3818,36792,11.1
2013,Austin,52898,15.1,16685,39640,11.4,24265,10578,3,9048,6305,1.8,2026,37282,10.7
2014,Austin,54969,15.2,18107,38433,10.6,28695,9702,2.7,8298,4306,1.2,3921,37084,10.3
2015,Austin,54705,15,17411,37229,10.2,28990,8525,2.3,9179,3616,1,3561,29900,8.2
2016,Austin,57649,15.5,17896,37553,10.1,35157,10669,2.9,8785,3994,1.1,2946,27459,7.4
2017,Austin,58148,15.4,18470,38056,10.1,29919,8477,2.3,9296,3656,1,2465,26891,7.1
2018,Austin,63126,16.2,19065,42277,10.8,33311,11180,2.9,8828,3804,1,3678,30346,7.8
2019,Austin,63211,15.4,19790,60535,14.8,32173,11587,2.8,9970,4003,1,4301,29358,7.2
2010,Baltimore,66608,28,13434,36020,15.1,19143,24706,10.4,8552,15748,6.6,3464,50462,21.2
2011,Baltimore,64498,27,14187,37324,15.6,18330,25472,10.6,9068,19225,8,3815,55775,23.3
2012,Baltimore,67070,27.4,13903,37698,15.4,18909,24395,10,8631,16220,6.6,4275,64579,26.4
2013,Baltimore,67637,27.7,15115,37055,15.2,19007,23089,9.5,8386,13594,5.6,3663,63230,25.9
2014,Baltimore,68248,28.6,15245,40057,16.8,18291,20839,8.7,9223,14126,5.9,3462,61860,25.9
2015,Baltimore,69700,29.2,16044,38233,16,19610,24471,10.3,9230,12881,5.4,3025,61876,26
2016,Baltimore,67726,28.1,15847,39436,16.4,22667,24147,10,9478,11051,4.6,3358,61673,25.6
2017,Baltimore,71217,29.6,15245,41509,17.3,23620,23405,9.7,10007,12978,5.4,2577,58910,24.5
2018,Baltimore,68636,28.9,16347,40923,17.3,22850,24088,10.2,9093,8620,3.6,3767,50619,21.3
2019,Baltimore,72757,30,16663,53902,22.2,21093,20121,8.3,9890,12523,5.2,3160,57504,23.7
2010,Boston,45524,18.1,13159,20923,8.3,23461,22620,9,8226,12201,4.8,4018,43667,17.3
2011,Boston,49582,19.7,13436,24217,9.6,23993,21712,8.6,8727,12182,4.8,4913,48932,19.4
2012,Boston,49200,19.9,13182,21439,8.7,21697,21713,8.8,8979,9387,3.8,4117,47692,19.3
2013,Boston,50792,20.2,15548,22715,9,25473,17802,7.1,8869,10960,4.4,4202,51055,20.3
2014,Boston,48805,19.2,14429,21758,8.6,23613,23342,9.2,9677,9385,3.7,3558,51510,20.3
2015,Boston,53097,20.3,14698,20979,8,33494,20694,7.9,8984,7980,3.1,3744,,17.8
2016,Boston,53573,20,14995,23814,8.9,32680,22458,8.4,9279,10059,3.8,3592,49780,18.6
2017,Boston,54283,20.2,15706,24040,9,27343,21505,8,9378,7859,2.9,4022,48301,18
2018,Boston,60592,22.1,15986,24431,8.9,29687,22350,8.1,9529,8352,3,3360,46135,16.8
2019,Boston,53555,19.7,16636,37238,13.7,33272,19466,7.2,9499,8585,3.2,3128,43344,16
2010,Charlotte,55475,19.5,16210,30807,10.8,20740,9815,3.5,8243,7786,2.7,3579,36200,12.7
2011,Charlotte,56881,19.4,17639,34592,11.8,24713,10355,3.5,7574,6134,2.1,3989,44403,15.2
2012,Charlotte,57065,19.3,17154,34412,11.6,22701,10432,3.5,7867,5789,2,4378,40703,13.8
2013,Charlotte,56102,18.7,17213,34166,11.4,20141,11934,4,8475,6166,2.1,4020,40989,13.7
2014,Charlotte,62537,20.2,17559,38452,12.4,22223,11095,3.6,9544,4693,1.5,2866,40530,13.1
2015,Charlotte,66174,20.5,18790,40174,12.4,22651,13356,4.1,8773,4827,1.5,2463,42925,13.3
2016,Charlotte,61654,19.3,19432,34754,10.9,24199,11531,3.6,9130,3689,1.2,2512,33751,10.6
2017,Charlotte,67258,20.3,19354,39006,11.8,26556,10482,3.2,9955,4103,1.2,2279,34362,10.4
2018,Charlotte,69935,20.8,20070,38543,11.5,26138,10967,3.3,9783,2954,0.9,3242,29311,8.7
2019,Charlotte,66312,19.4,19865,51920,15.2,26216,9770,2.9,9779,4019,1.2,2399,26429,7.7
2010,Columbus,60535,19,13957,41868,13.1,24576,18957,5.9,8144,11068,3.5,3662,59943,18.8
2011,Columbus,61598,19.1,14307,40411,12.5,21329,20212,6.3,8382,12535,3.9,3885,57456,17.8
2012,Columbus,63652,19.3,14282,44309,13.4,22349,17794,5.4,8730,13840,4.2,2567,60890,18.5
2013,Columbus,63814,19.3,14579,42505,12.9,25041,20774,6.3,8832,12545,3.8,2771,63464,19.2
2014,Columbus,63661,18.8,15472,43937,13,22648,19024,5.6,8713,12642,3.7,2360,59977,17.7
2015,Columbus,72685,21.1,15676,47282,13.7,25309,16567,4.8,8849,10329,3,2812,57381,16.6
2016,Columbus,73553,21.1,15128,46378,13.3,24593,20459,5.9,9334,7922,2.3,2590,54297,15.6
2017,Columbus,71951,20.2,15953,48851,13.7,26195,24191,6.8,9678,9800,2.8,3252,50974,14.3
2018,Columbus,76388,20.9,16911,48015,13.1,27383,21401,5.8,10595,6970,1.9,2561,46509,12.7
2019,Columbus,71616,19.4,16839,59458,16.1,29857,18014,4.9,10090,6176,1.7,3441,43777,11.9
2010,Denver,50453,19.3,14519,28798,11,23393,12777,4.9,8186,8254,3.1,3262,30341,11.6
2011,Denver,53294,20,15023,29752,11.2,23303,11240,4.2,7823,7724,2.9,4799,27193,10.2
2012,Denver,54036,20,15276,32415,12,25542,11435,4.2,8279,8011,3,3226,31872,11.8
2013,Denver,55913,20.5,15963,30695,11.2,25796,8998,3.3,8719,6643,2.4,2944,29729,10.9
2014,Denver,56820,20.2,16035,31211,11.1,28436,10059,3.6,8099,7257,2.6,3299,30682,10.9
2015,Denver,57776,20.1,16469,30002,10.5,30584,11041,3.8,8794,6732,2.3,2670,27751,9.7
2016,Denver,60879,20.8,17179,35219,12.1,26912,11293,3.9,9331,6747,2.3,3236,26238,9
2017,Denver,61687,20.8,17371,35000,11.8,29202,10306,3.5,10008,6286,2.1,3568,23997,8.1
2018,Denver,60737,19.6,18336,34761,11.2,29786,11251,3.6,9240,6891,2.2,2651,24820,8
2019,Denver,63729,20,18154,49922,15.7,29252,11465,3.6,9770,5147,1.6,2249,21672,6.8
2010,Detroit,84109,33,13928,57354,22.5,18081,31778,12.5,8563,24007,9.4,3364,98080,38.4
2011,Detroit,82548,32.5,14775,51799,20.4,19680,33684,13.3,8479,21860,8.6,3785,104099,41
2012,Detroit,84390,33.3,14169,54509,21.5,19548,40732,16.1,8798,20088,7.9,3278,111274,44
2013,Detroit,84480,33.1,14489,54395,21.3,19639,38562,15.1,8830,18734,7.3,3110,110980,43.5
2014,Detroit,86055,33.9,15783,51355,20.3,19730,39931,15.8,9280,13745,5.4,2507,108250,42.7
2015,Detroit,88960,34.8,15249,50489,19.8,22013,37376,14.6,9203,14549,5.7,2320,109288,42.8
2016,Detroit,79746,30.8,15872,46841,18.1,18806,42295,16.3,8983,13229,5.1,2649,102735,39.6
2017,Detroit,87730,33.2,16317,49897,18.9,22609,38102,14.4,9287,9247,3.5,1913,97979,37.1
2018,Detroit,90101,33.8,15780,51047,19.2,20739,36304,13.6,8878,10719,4,2312,99519,37.4
2019,Detroit,89138,33.4,16265,62266,23.3,21655,35005,13.1,8793,8803,3.3,1512,88124,33
2010,El Paso,60087,28.5,12850,31020,14.7,20564,14460,6.9,6998,13053,6.2,3439,45240,21.5
2011,El Paso,59837,27.3,12896,29349,13.4,24119,11643,5.3,7443,12408,5.7,3757,48596,22.1
2012,El Paso,62416,28.4,13987,31092,14.2,18549,16596,7.6,7586,7216,3.3,3701,50970,23.2
2013,El Paso,59448,27.1,14049,32284,14.7,23487,17486,8,7330,7603,3.5,3270,51731,23.6
2014,El Paso,62576,28.7,14113,32256,14.8,20519,16180,7.4,7177,7643,3.5,3055,47273,21.7
2015,El Paso,62667,28.2,14995,35978,16.2,22254,15232,6.8,6711,6642,3,3003,46380,20.8
2016,El Paso,62587,27.7,14570,34018,15.1,22480,16553,7.3,7402,3756,1.7,2824,46262,20.5
2017,El Paso,59665,26,14880,36150,15.8,24587,14423,6.3,7980,4556,2,2135,41593,18.2
2018,El Paso,64476,28.3,14385,34909,15.3,28451,14042,6.2,8424,4628,2,2354,45091,19.8
2019,El Paso,62143,27.9,15207,43078,19.3,24791,15323,6.9,7825,4828,2.2,2843,46186,20.7
2010,Fort Worth,50387,19.3,14882,28477,10.9,18390,11234,4.3,9350,8515,3.3,3429,31063,11.9
